order_id,date,customer_id,region,category,channel,payment_method,quantity,revenue_pkr,cost_pkr,profit_pkr,returned
PK-2023-01221,2023-01-01,C-0289,Punjab,Electronics,Online,JazzCash,2,30243.91,24795.51,5448.39,False
PK-2023-00744,2023-01-01,C-0602,Punjab,Beauty & Personal Care,Online,Card,3,18379.29,15423.5,2955.79,False
PK-2023-01837,2023-01-01,C-0028,Balochistan,Groceries,Online,Cash on Delivery,1,16652.82,13958.54,2694.28,False
PK-2023-01158,2023-01-01,C-0703,Sindh,Electronics,Wholesale,Cash on Delivery,3,29637.58,24271.46,5366.12,False
PK-2023-00998,2023-01-02,C-0136,Sindh,Electronics,Online,Easypaisa,3,37064.55,32249.87,4814.69,False
PK-2023-00741,2023-01-02,C-0720,Punjab,Electronics,Mobile App,Cash on Delivery,2,23490.99,19548.51,3942.49,False
PK-2023-01617,2023-01-03,C-0484,Sindh,Fashion,Online,Card,2,34909.6,28558.1,6351.5,False
PK-2023-00811,2023-01-03,C-0172,Sindh,Electronics,Online,JazzCash,4,45335.57,37283.42,8052.15,False
PK-2023-00647,2023-01-04,C-0585,Islamabad,Groceries,Online,Card,4,45663.79,38204.11,7459.68,False
PK-2023-01323,2023-01-04,C-0185,Balochistan,Groceries,Online,Easypaisa,2,22282.44,18598.21,3684.24,False
PK-2023-01314,2023-01-04,C-0121,Sindh,Home & Living,Mobile App,Card,1,6020.74,4965.65,1055.09,False
PK-2023-00775,2023-01-04,C-0657,Punjab,Groceries,Mobile App,Cash on Delivery,2,15370.83,12399.63,2971.2,False
PK-2023-00423,2023-01-04,C-0668,Sindh,Beauty & Personal Care,Mobile App,Easypaisa,1,17532.21,15698.51,1833.7,False
PK-2023-00052,2023-01-06,C-0349,KPK,Electronics,Mobile App,Card,2,15148.66,12280.02,2868.64,False
PK-2023-00595,2023-01-06,C-0100,Punjab,Fashion,Wholesale,Card,1,14269.2,10997.23,3271.98,False
PK-2023-01101,2023-01-06,C-0665,Sindh,Others,Online,JazzCash,2,25669.26,20702.81,4966.45,False
PK-2023-00766,2023-01-07,C-0127,Punjab,Sports,Mobile App,Cash on Delivery,1,14973.45,11570.24,3403.21,False
PK-2023-01911,2023-01-08,C-0473,Islamabad,Home & Living,Wholesale,Card,3,32986.72,28194.31,4792.41,False
PK-2023-00535,2023-01-08,C-0434,Sindh,Others,Online,Easypaisa,4,111601.7,92176.02,19425.68,False
PK-2023-00841,2023-01-09,C-0638,Balochistan,Beauty & Personal Care,In-Store,Easypaisa,1,15358.05,12215.16,3142.89,False
PK-2023-01952,2023-01-09,C-0160,Sindh,Others,Mobile App,Card,1,11669.12,10080.18,1588.95,False
PK-2023-00395,2023-01-09,C-0341,Punjab,Home & Living,Mobile App,Card,4,32575.6,26361.89,6213.7,False
PK-2023-00205,2023-01-10,C-0143,KPK,Fashion,Online,Easypaisa,2,21400.3,17927.87,3472.42,False
PK-2023-01568,2023-01-11,C-0173,Punjab,Home & Living,Mobile App,Easypaisa,2,20817.57,17328.67,3488.9,False
PK-2023-00519,2023-01-11,C-0272,KPK,Home & Living,Online,Card,1,9679.48,7551.94,2127.54,False
PK-2023-00812,2023-01-12,C-0382,KPK,Beauty & Personal Care,Online,Cash on Delivery,4,65381.15,53502.33,11878.82,False
PK-2023-00683,2023-01-12,C-0107,KPK,Electronics,Mobile App,Card,1,11687.64,9461.2,2226.44,False
PK-2023-00826,2023-01-13,C-0015,Sindh,Groceries,Mobile App,Card,3,75838.29,62380.87,13457.42,False
PK-2023-00239,2023-01-13,C-0412,Sindh,Fashion,In-Store,Cash on Delivery,2,24617.66,21375.02,3242.63,False
PK-2023-00797,2023-01-13,C-0492,Punjab,Groceries,In-Store,Cash on Delivery,4,71363.42,54094.05,17269.37,False
PK-2023-01929,2023-01-13,C-0637,Balochistan,Electronics,Online,Card,3,22599.54,19295.4,3304.14,False
PK-2023-01949,2023-01-13,C-0634,Punjab,Beauty & Personal Care,Online,Cash on Delivery,1,7900.94,6950.65,950.29,False
PK-2023-01045,2023-01-14,C-0334,Punjab,Groceries,Wholesale,Cash on Delivery,3,31343.25,25304.22,6039.03,False
PK-2023-01894,2023-01-15,C-0663,Balochistan,Home & Living,Online,Easypaisa,1,13577.73,11131.37,2446.36,False
PK-2023-00270,2023-01-15,C-0582,KPK,Beauty & Personal Care,Online,Cash on Delivery,2,32482.69,27087.82,5394.87,False
PK-2023-01902,2023-01-15,C-0227,Punjab,Beauty & Personal Care,Mobile App,Card,2,19831.77,16168.1,3663.67,False
PK-2023-00150,2023-01-15,C-0631,Sindh,Electronics,In-Store,Card,4,29562.93,26261.26,3301.67,False
PK-2023-01069,2023-01-16,C-0211,Punjab,Groceries,Online,Easypaisa,1,9389.21,7728.18,1661.02,False
PK-2023-00872,2023-01-16,C-0587,Punjab,Fashion,Mobile App,Card,4,42883.93,34018.28,8865.65,False
